Name,1_Score,1_Driving Accuracy,1_Greens In Regulation,1_Putting Average,1_Stroke Differential,1_Scrambling,1_Time,2_Score,2_Driving Accuracy,2_Greens In Regulation,2_Putting Average,2_Stroke Differential,2_Scrambling,2_Time
Justin Thomas,67.5,50.0,72.22,1.5959999999999999,2.27,70.0,1.0,69.0,66.07,75.0,1.63,2.79,44.44,3.0
Abraham Ancer,67.5,64.29,81.94,1.729,2.27,84.62,1.0,70.0,78.57,77.78,1.786,1.79,56.25,3.0
Daniel Berger,68.25,62.5,73.61,1.736,1.52,68.42,1.0,68.25,69.23,66.67,1.604,1.01,75.0,6.0
Patrick Cantlay,70.25,76.79,72.22,1.827,1.54,70.0,3.0,66.25,75.0,75.0,1.611,3.01,88.89,6.0
Cameron Champ,70.5,58.93,73.61,1.736,1.29,47.37,3.0,67.5,71.15,63.89,1.63,1.76,69.23,6.0
Stewart Cink,68.0,51.79,79.17,1.7719999999999998,2.86,66.67,5.0,70.25,71.43,65.28,1.745,-1.76,60.0,8.0
Bryson DeChambeau,71.5,69.64,61.11,1.818,0.29,53.57,3.0,66.5,64.29,79.17,1.719,1.99,53.33,8.0
Harris English,67.0,60.71,68.06,1.694,2.77,78.26,1.0,66.5,66.07,80.56,1.7069999999999999,2.48,78.57,2.0
Tony Finau,67.25,53.57,69.44,1.56,2.52,59.09,1.0,71.75,55.36,68.06,1.8780000000000001,0.04,60.87,3.0
Sergio Garcia,70.5,51.79,61.11,1.75,0.83,75.0,7.0,68.0,66.07,75.0,1.704,0.49,61.11,8.0
Brian Gay,67.25,58.93,69.44,1.66,3.61,72.73,5.0,70.25,69.64,62.5,1.689,1.38,62.96,21.0
Lanto Griffin,71.0,57.69,68.06,1.8780000000000001,-0.34,43.48,4.0,67.75,75.0,75.0,1.556,1.51,55.56,6.0
Billy Horschel,67.0,58.93,75.0,1.685,2.77,72.22,1.0,71.75,69.64,69.44,1.88,0.04,63.64,3.0
Viktor Hovland,66.0,64.29,84.72,1.6230000000000002,3.77,45.45,1.0,68.75,59.62,72.22,1.7309999999999999,1.91,50.0,4.0
Mackenzie Hughes,68.25,48.08,55.56,1.625,2.41,68.75,4.0,69.25,71.15,68.06,1.633,0.01,60.87,6.0
Sungjae Im,68.25,82.14,62.5,1.6440000000000001,3.54,74.07,3.0,70.75,46.15,61.11,1.795,-0.09,60.71,4.0
Dustin Johnson,67.0,78.57,83.33,1.7,4.79,75.0,3.0,67.25,63.46,79.17,1.702,3.41,46.67,4.0
Kevin Kisner,65.75,85.71,76.39,1.655,3.56,100.0,2.0,68.0,69.23,73.61,1.5659999999999998,1.26,63.16,6.0
Jason Kokrak,68.25,84.62,69.44,1.62,1.01,77.27,6.0,67.0,58.93,76.39,1.6,4.33,64.71,7.0
Martin Laird,65.25,78.57,80.56,1.655,3.24,64.29,8.0,69.75,62.5,81.94,1.814,1.22,76.92,9.0
Andrew Landry,66.25,78.57,86.11,1.694,3.06,70.0,2.0,69.75,76.92,66.67,1.625,-0.49,66.67,6.0
Marc Leishman,70.0,76.79,76.39,1.818,1.79,58.82,3.0,71.5,69.23,72.22,1.75,-2.24,50.0,6.0
Hideki Matsuyama,70.0,71.43,69.44,1.8,1.79,77.27,3.0,67.25,69.23,69.44,1.66,3.41,59.09,4.0
Collin Morikawa,72.0,71.43,69.44,1.82,-0.21,50.0,3.0,69.75,71.15,70.83,1.765,-0.49,71.43,6.0
Sebastián Muñoz,70.5,71.43,72.22,1.692,1.29,45.0,3.0,68.0,73.08,73.61,1.6230000000000002,1.26,57.89,6.0
Kevin Na,70.0,73.21,77.78,1.857,1.79,68.75,3.0,68.75,69.23,61.11,1.591,0.51,64.29,6.0
Joaquin Niemann,68.25,69.64,69.44,1.72,1.52,63.64,1.0,68.5,76.79,76.39,1.745,0.81,52.94,2.0
Carlos Ortiz,67.25,55.36,70.83,1.608,2.52,66.67,1.0,66.75,50.0,70.83,1.784,3.91,85.71,4.0
Ryan Palmer,67.25,76.92,65.28,1.574,2.01,72.0,6.0,70.25,53.57,76.39,1.745,1.08,52.94,7.0
Jon Rahm,69.5,71.43,65.28,1.66,2.29,64.0,3.0,66.5,88.46,83.33,1.6669999999999998,2.76,75.0,6.0
Patrick Reed,69.75,71.43,63.89,1.609,2.04,50.0,3.0,68.0,65.38,70.83,1.569,1.26,52.38,6.0
Xander Schauffele,70.25,58.93,72.22,1.8459999999999999,1.54,60.0,3.0,68.25,76.92,80.56,1.621,1.01,42.86,6.0
Scottie Scheffler,70.5,80.36,72.22,1.8459999999999999,1.29,65.0,3.0,69.75,67.31,58.33,1.6669999999999998,0.91,53.33,4.0
Adam Scott,71.5,51.79,61.11,1.7269999999999999,0.29,60.71,3.0,69.75,46.15,65.28,1.6380000000000001,0.91,48.0,4.0
Webb Simpson,68.25,80.36,80.56,1.81,0.73,85.71,2.0,69.75,83.93,69.44,1.84,2.04,68.18,3.0
Cameron Smith,68.25,64.29,65.28,1.617,3.54,72.0,3.0,67.25,82.69,77.78,1.679,2.01,75.0,6.0
Robert Streb,65.75,71.43,83.33,1.683,3.23,83.33,2.0,71.25,42.86,61.11,1.7269999999999999,-0.39,53.57,5.0
Hudson Swafford,72.25,41.07,56.94,1.78,-1.39,58.06,5.0,67.5,78.57,70.83,1.6469999999999998,3.6,71.43,10.0
Nick Taylor,71.25,69.64,68.06,1.796,0.54,56.52,3.0,70.75,75.0,69.44,1.7,-1.49,59.09,6.0
Michael Thompson,68.75,71.15,68.06,1.694,1.91,56.52,4.0,73.5,80.77,54.17,1.7690000000000001,-4.24,51.52,6.0
Brendon Todd,67.25,76.79,73.61,1.6230000000000002,2.52,63.16,1.0,68.25,91.07,70.83,1.706,0.73,57.14,2.0
Richy Werenski,70.25,73.08,66.67,1.625,-0.99,62.5,6.0,70.75,44.64,62.5,1.733,0.58,66.67,7.0
